/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_150.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_150.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_150.jpg, 0, 0, 0, 7.795428E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_251.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_251.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_251.jpg, 0, 0, 0, 7.792728E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_351.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_351.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_351.jpg, 0, 0, 0, 7.802447E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_452.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_452.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_452.jpg, 0, 0, 0, 7.78134E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_569.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_569.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_569.jpg, 0, 0, 0, 7.845822E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_683.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_683.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_683.jpg, 0, 0, 0, 7.800871E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_799.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_799.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_799.jpg, 0, 0, 0, 7.794508E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_03_899.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_03_899.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_03_899.jpg, 0, 0, 0, 7.848362E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_04_017.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_04_017.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_04_017.jpg, 0, 0, 0, 7.894152E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_04_133.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_04_133.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_04_133.jpg, 0, 0, 0, 7.780714E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_04_248.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_04_248.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_04_248.jpg, 0, 0, 0, 7.800595E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_04_348.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_04_348.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_04_348.jpg, 0, 0, 0, 7.832619E-05
/Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/center_2019_12_16_20_53_04_453.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/left_2019_12_16_20_53_04_453.jpg, /Users/dev/Desktop/Udemy/Self Driving Car Course/IMG/IMG/right_2019_12_16_20_53_04_453.jpg, 0, 0, 0, 7.858998E-05
